what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1245986781594
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1245986786990
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986789628
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245986789648
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.3,org.tigris.subversion.clientadapter.javahl,1245986789732
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.2,org.tigris.subversion.clientadapter.svnkit,1245986789734
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986794976
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986795494
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1245986796392
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245986802773
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1245986806597
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245986824371
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986825867
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986860410
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245986860418
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986862460
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986862734
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245986867609
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245986867648
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986895495
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986895499
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986895538
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986910207
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986916993
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245986941575
